2D-peak FWHM	#
0.02162331909	12	
0.02304336935	4	
0.0244634196	10	
0.02588346985	8	
0.0273035201	11	
0.02872357036	6	
0.03014362061	9	
0.03156367086	7	
0.03298372112	10	
0.03440377137	6	
0.03582382162	9	
0.03724387188	9	
0.03866392213	7	
0.04008397238	15	
0.04150402264	116	
0.04292407289	154	
0.04434412314	129	
0.04576417339	92	
0.04718422365	39	
0.0486042739	36	
0.05002432415	24	
0.05144437441	16	
0.05286442466	8	
0.05428447491	7	
0.05570452517	4	
0.05712457542	1	
0.05854462567	4	
0.05996467593	3	
0.06138472618	0	
0.06280477643	0	
0.06422482669	1	
0.06564487694	0	
0.06706492719	1	
0.06848497744	0	
0.0699050277	1	
0.07132507795	1	
0.0727451282	2	
0.07416517846	0	
0.07558522871	1	
0.07700527896	1	
0.07842532922	0	
0.07984537947	0	
0.08126542972	0	
0.08268547998	1	
0.08410553023	2	
0.08552558048	0	
0.08694563074	0	
0.08836568099	0	
0.08978573124	0	
0.09120578149	0	
0.09262583175	0	
0.094045882	1	
0.09546593225	1	
0.09688598251	1	
0.09830603276	1	
0.09972608301	0	
0.1011461333	0	
0.1025661835	0	
0.1039862338	0	
0.105406284	0	
0.1068263343	0	
0.1082463845	0	
0.1096664348	1	
0.111086485	1	
0.1125065353	1	
0.1139265855	1	
0.1153466358	0	
0.1167666861	1	
0.1181867363	0	
0.1196067866	0	
0.1210268368	1	
0.1224468871	0	
0.1238669373	2	
0.1252869876	0	
0.1267070378	1	
0.1281270881	0	
0.1295471383	0	
0.1309671886	1	
0.1323872388	0	
0.1338072891	0	
0.1352273393	0	
0.1366473896	0	
0.1380674398	0	
0.1394874901	1	
0.1409075404	0	
0.1423275906	0	
0.1437476409	0	
0.1451676911	0	
0.1465877414	0	
0.1480077916	0	
0.1494278419	0	
0.1508478921	0	
0.1522679424	0	
0.1536879926	0	
0.1551080429	0	
0.1565280931	0	
0.1579481434	0	
0.1593681936	0	
0.1607882439	1	
0.1622082941	 	
