2D-peak FWHM	#
46.82229741	1	
47.04597039	3	
47.26964337	3	
47.49331635	6	
47.71698933	8	
47.94066231	7	
48.16433529	17	
48.38800827	14	
48.61168125	21	
48.83535423	41	
49.05902721	40	
49.28270019	65	
49.50637317	66	
49.73004615	57	
49.95371913	72	
50.17739211	77	
50.40106509	60	
50.62473807	46	
50.84841105	36	
51.07208403	29	
51.29575701	21	
51.51942999	10	
51.74310297	9	
51.96677595	14	
52.19044893	6	
52.41412192	7	
52.6377949	2	
52.86146788	1	
53.08514086	5	
53.30881384	4	
53.53248682	1	
53.7561598	2	
53.97983278	1	
54.20350576	3	
54.42717874	5	
54.65085172	1	
54.8745247	2	
55.09819768	0	
55.32187066	1	
55.54554364	3	
55.76921662	1	
55.9928896	1	
56.21656258	1	
56.44023556	0	
56.66390854	2	
56.88758152	1	
57.1112545	0	
57.33492748	1	
57.55860046	1	
57.78227344	0	
58.00594642	0	
58.2296194	0	
58.45329238	0	
58.67696536	0	
58.90063834	1	
59.12431132	0	
59.3479843	2	
59.57165728	0	
59.79533026	0	
60.01900324	0	
60.24267622	0	
60.4663492	0	
60.69002218	0	
60.91369516	0	
61.13736814	0	
61.36104112	0	
61.5847141	0	
61.80838708	0	
62.03206006	1	
62.25573304	0	
62.47940602	0	
62.703079	0	
62.92675198	0	
63.15042496	1	
63.37409794	0	
63.59777092	0	
63.8214439	0	
64.04511688	0	
64.26878986	0	
64.49246284	0	
64.71613582	0	
64.9398088	0	
65.16348178	1	
65.38715476	0	
65.61082774	1	
65.83450072	0	
66.0581737	0	
66.28184668	0	
66.50551966	0	
66.72919264	0	
66.95286562	0	
67.1765386	0	
67.40021158	0	
67.62388456	0	
67.84755754	0	
68.07123052	0	
68.2949035	0	
68.51857648	0	
68.74224946	1	
68.96592244	 	
