2D-peak FWHM	#
26.47045778	1	
26.61338232	3	
26.75630685	3	
26.89923139	11	
27.04215592	6	
27.18508046	14	
27.32800499	18	
27.47092953	26	
27.61385406	45	
27.7567786	47	
27.89970313	71	
28.04262767	73	
28.1855522	78	
28.32847674	75	
28.47140127	71	
28.61432581	47	
28.75725034	42	
28.90017488	33	
29.04309941	24	
29.18602395	11	
29.32894848	7	
29.47187302	14	
29.61479755	10	
29.75772209	6	
29.90064662	2	
30.04357116	3	
30.18649569	4	
30.32942022	3	
30.47234476	3	
30.61526929	1	
30.75819383	1	
30.90111836	5	
31.0440429	3	
31.18696743	2	
31.32989197	0	
31.4728165	1	
31.61574104	2	
31.75866557	2	
31.90159011	0	
32.04451464	2	
32.18743918	0	
32.33036371	2	
32.47328825	1	
32.61621278	0	
32.75913732	1	
32.90206185	1	
33.04498639	0	
33.18791092	0	
33.33083546	0	
33.47375999	0	
33.61668453	0	
33.75960906	1	
33.9025336	0	
34.04545813	2	
34.18838267	0	
34.3313072	0	
34.47423174	0	
34.61715627	0	
34.76008081	0	
34.90300534	0	
35.04592988	0	
35.18885441	0	
35.33177895	0	
35.47470348	0	
35.61762802	0	
35.76055255	1	
35.90347709	0	
36.04640162	0	
36.18932616	0	
36.33225069	0	
36.47517523	0	
36.61809976	1	
36.7610243	0	
36.90394883	0	
37.04687337	0	
37.1897979	0	
37.33272244	0	
37.47564697	0	
37.61857151	0	
37.76149604	0	
37.90442058	1	
38.04734511	0	
38.19026965	0	
38.33319418	1	
38.47611872	0	
38.61904325	0	
38.76196779	0	
38.90489232	0	
39.04781686	0	
39.19074139	0	
39.33366593	0	
39.47659046	0	
39.61951499	0	
39.76243953	0	
39.90536406	0	
40.0482886	0	
40.19121313	0	
40.33413767	0	
40.4770622	1	
40.61998674	 	
