2D-peak FWHM	#
11811.01927	1	
12516.12612	1	
13221.23297	2	
13926.33982	0	
14631.44667	1	
15336.55353	4	
16041.66038	1	
16746.76723	0	
17451.87408	0	
18156.98093	2	
18862.08778	0	
19567.19464	1	
20272.30149	3	
20977.40834	2	
21682.51519	3	
22387.62204	2	
23092.72889	3	
23797.83574	1	
24502.9426	1	
25208.04945	2	
25913.1563	2	
26618.26315	2	
27323.37	3	
28028.47685	1	
28733.5837	2	
29438.69056	4	
30143.79741	13	
30848.90426	19	
31554.01111	23	
32259.11796	41	
32964.22481	46	
33669.33167	57	
34374.43852	74	
35079.54537	92	
35784.65222	118	
36489.75907	107	
37194.86592	22	
37899.97277	4	
38605.07963	10	
39310.18648	3	
40015.29333	4	
40720.40018	3	
41425.50703	4	
42130.61388	4	
42835.72074	5	
43540.82759	3	
44245.93444	1	
44951.04129	3	
45656.14814	4	
46361.25499	3	
47066.36184	0	
47771.4687	4	
48476.57555	1	
49181.6824	3	
49886.78925	1	
50591.8961	2	
51297.00295	3	
52002.10981	1	
52707.21666	0	
53412.32351	3	
54117.43036	6	
54822.53721	3	
55527.64406	0	
56232.75091	1	
56937.85777	3	
57642.96462	0	
58348.07147	2	
59053.17832	2	
59758.28517	2	
60463.39202	2	
61168.49887	2	
61873.60573	0	
62578.71258	2	
63283.81943	3	
63988.92628	0	
64694.03313	3	
65399.13998	2	
66104.24684	2	
66809.35369	2	
67514.46054	2	
68219.56739	0	
68924.67424	0	
69629.78109	2	
70334.88794	0	
71039.9948	3	
71745.10165	1	
72450.2085	2	
73155.31535	1	
73860.4222	0	
74565.52905	2	
75270.63591	0	
75975.74276	0	
76680.84961	1	
77385.95646	1	
78091.06331	1	
78796.17016	1	
79501.27701	1	
80206.38387	2	
80911.49072	1	
81616.59757	 	
