2D-peak FWHM	#
0.083653369	1	
0.08387257636	3	
0.08409178373	3	
0.0843109911	10	
0.08453019846	7	
0.08474940583	13	
0.0849686132	17	
0.08518782056	26	
0.08540702793	44	
0.0856262353	45	
0.08584544266	73	
0.08606465003	72	
0.0862838574	72	
0.08650306476	73	
0.08672227213	73	
0.0869414795	52	
0.08716068686	41	
0.08737989423	31	
0.0875991016	27	
0.08781830896	13	
0.08803751633	8	
0.0882567237	14	
0.08847593106	10	
0.08869513843	7	
0.0889143458	3	
0.08913355316	3	
0.08935276053	4	
0.0895719679	2	
0.08979117527	2	
0.09001038263	3	
0.09022959	1	
0.09044879737	4	
0.09066800473	4	
0.0908872121	0	
0.09110641947	2	
0.09132562683	1	
0.0915448342	2	
0.09176404157	2	
0.09198324893	1	
0.0922024563	1	
0.09242166367	0	
0.09264087103	1	
0.0928600784	2	
0.09307928577	0	
0.09329849313	1	
0.0935177005	0	
0.09373690787	1	
0.09395611523	0	
0.0941753226	0	
0.09439452997	0	
0.09461373733	0	
0.0948329447	0	
0.09505215207	1	
0.09527135943	1	
0.0954905668	1	
0.09570977417	0	
0.09592898154	0	
0.0961481889	0	
0.09636739627	0	
0.09658660364	0	
0.096805811	0	
0.09702501837	0	
0.09724422574	0	
0.0974634331	0	
0.09768264047	0	
0.09790184784	1	
0.0981210552	0	
0.09834026257	0	
0.09855946994	0	
0.0987786773	0	
0.09899788467	0	
0.09921709204	1	
0.0994362994	0	
0.09965550677	0	
0.09987471414	0	
0.1000939215	0	
0.1003131289	0	
0.1005323362	0	
0.1007515436	0	
0.100970751	0	
0.1011899583	1	
0.1014091657	0	
0.1016283731	0	
0.1018475804	1	
0.1020667878	0	
0.1022859952	0	
0.1025052025	0	
0.1027244099	0	
0.1029436173	0	
0.1031628246	0	
0.103382032	0	
0.1036012394	0	
0.1038204467	0	
0.1040396541	0	
0.1042588615	0	
0.1044780688	0	
0.1046972762	0	
0.1049164836	0	
0.1051356909	1	
0.1053548983	 	
