2D-peak FWHM	#
2733.648025	16	
2735.894278	31	
2738.140531	34	
2740.386784	41	
2742.633037	64	
2744.87929	70	
2747.125544	37	
2749.371797	73	
2751.61805	59	
2753.864303	37	
2756.110556	44	
2758.356809	35	
2760.603062	32	
2762.849316	20	
2765.095569	18	
2767.341822	13	
2769.588075	11	
2771.834328	6	
2774.080581	1	
2776.326835	4	
2778.573088	3	
2780.819341	4	
2783.065594	4	
2785.311847	5	
2787.5581	4	
2789.804354	3	
2792.050607	1	
2794.29686	2	
2796.543113	4	
2798.789366	2	
2801.035619	2	
2803.281873	2	
2805.528126	2	
2807.774379	0	
2810.020632	7	
2812.266885	1	
2814.513138	1	
2816.759391	4	
2819.005645	2	
2821.251898	3	
2823.498151	0	
2825.744404	1	
2827.990657	5	
2830.23691	0	
2832.483164	1	
2834.729417	2	
2836.97567	3	
2839.221923	2	
2841.468176	2	
2843.714429	0	
2845.960683	1	
2848.206936	4	
2850.453189	2	
2852.699442	1	
2854.945695	0	
2857.191948	2	
2859.438202	0	
2861.684455	2	
2863.930708	0	
2866.176961	2	
2868.423214	4	
2870.669467	1	
2872.91572	1	
2875.161974	5	
2877.408227	0	
2879.65448	2	
2881.900733	1	
2884.146986	0	
2886.393239	0	
2888.639493	1	
2890.885746	2	
2893.131999	2	
2895.378252	1	
2897.624505	4	
2899.870758	1	
2902.117012	2	
2904.363265	1	
2906.609518	1	
2908.855771	0	
2911.102024	1	
2913.348277	2	
2915.594531	2	
2917.840784	1	
2920.087037	1	
2922.33329	2	
2924.579543	2	
2926.825796	0	
2929.072049	2	
2931.318303	0	
2933.564556	1	
2935.810809	1	
2938.057062	2	
2940.303315	0	
2942.549568	0	
2944.795822	0	
2947.042075	1	
2949.288328	1	
2951.534581	1	
2953.780834	2	
2956.027087	 	
