2D-peak FWHM	#
0.005803499925	10	
0.006168520508	6	
0.006533541091	8	
0.006898561674	8	
0.007263582257	12	
0.00762860284	3	
0.007993623423	10	
0.008358644006	7	
0.008723664589	7	
0.009088685172	8	
0.009453705755	6	
0.009818726338	9	
0.01018374692	7	
0.0105487675	7	
0.01091378809	9	
0.01127880867	83	
0.01164382925	164	
0.01200884984	119	
0.01237387042	105	
0.012738891	54	
0.01310391159	37	
0.01346893217	29	
0.01383395275	19	
0.01419897333	11	
0.01456399392	5	
0.0149290145	4	
0.01529403508	2	
0.01565905567	3	
0.01602407625	2	
0.01638909683	2	
0.01675411742	0	
0.017119138	0	
0.01748415858	0	
0.01784917916	1	
0.01821419975	0	
0.01857922033	2	
0.01894424091	1	
0.0193092615	0	
0.01967428208	1	
0.02003930266	1	
0.02040432325	1	
0.02076934383	1	
0.02113436441	0	
0.02149938499	0	
0.02186440558	0	
0.02222942616	1	
0.02259444674	1	
0.02295946733	1	
0.02332448791	0	
0.02368950849	0	
0.02405452908	0	
0.02441954966	1	
0.02478457024	0	
0.02514959082	1	
0.02551461141	0	
0.02587963199	1	
0.02624465257	1	
0.02660967316	0	
0.02697469374	0	
0.02733971432	0	
0.02770473491	0	
0.02806975549	1	
0.02843477607	1	
0.02879979665	0	
0.02916481724	0	
0.02952983782	2	
0.0298948584	1	
0.03025987899	0	
0.03062489957	1	
0.03098992015	0	
0.03135494074	0	
0.03171996132	0	
0.0320849819	1	
0.03245000248	0	
0.03281502307	1	
0.03318004365	0	
0.03354506423	0	
0.03391008482	0	
0.0342751054	1	
0.03464012598	0	
0.03500514657	0	
0.03537016715	0	
0.03573518773	1	
0.03610020831	0	
0.0364652289	1	
0.03683024948	0	
0.03719527006	0	
0.03756029065	0	
0.03792531123	0	
0.03829033181	0	
0.0386553524	0	
0.03902037298	0	
0.03938539356	0	
0.03975041414	0	
0.04011543473	0	
0.04048045531	0	
0.04084547589	0	
0.04121049648	0	
0.04157551706	1	
0.04194053764	 	
