2D-peak FWHM	#
2666.503245	2	
2666.808908	3	
2667.11457	0	
2667.420233	2	
2667.725895	1	
2668.031557	4	
2668.33722	2	
2668.642882	1	
2668.948545	1	
2669.254207	2	
2669.559869	1	
2669.865532	3	
2670.171194	2	
2670.476856	3	
2670.782519	1	
2671.088181	0	
2671.393844	2	
2671.699506	1	
2672.005168	1	
2672.310831	2	
2672.616493	0	
2672.922155	1	
2673.227818	3	
2673.53348	2	
2673.839143	4	
2674.144805	0	
2674.450467	1	
2674.75613	2	
2675.061792	2	
2675.367455	1	
2675.673117	1	
2675.978779	0	
2676.284442	2	
2676.590104	4	
2676.895766	3	
2677.201429	4	
2677.507091	2	
2677.812754	2	
2678.118416	2	
2678.424078	1	
2678.729741	1	
2679.035403	4	
2679.341066	4	
2679.646728	3	
2679.95239	3	
2680.258053	2	
2680.563715	3	
2680.869377	3	
2681.17504	2	
2681.480702	6	
2681.786365	5	
2682.092027	3	
2682.397689	2	
2682.703352	3	
2683.009014	1	
2683.314677	10	
2683.620339	5	
2683.926001	4	
2684.231664	5	
2684.537326	5	
2684.842988	9	
2685.148651	8	
2685.454313	5	
2685.759976	8	
2686.065638	6	
2686.3713	8	
2686.676963	10	
2686.982625	9	
2687.288287	8	
2687.59395	9	
2687.899612	9	
2688.205275	10	
2688.510937	8	
2688.816599	10	
2689.122262	13	
2689.427924	14	
2689.733587	11	
2690.039249	12	
2690.344911	13	
2690.650574	11	
2690.956236	23	
2691.261898	29	
2691.567561	19	
2691.873223	58	
2692.178886	61	
2692.484548	79	
2692.79021	67	
2693.095873	47	
2693.401535	37	
2693.707198	12	
2694.01286	4	
2694.318522	3	
2694.624185	2	
2694.929847	1	
2695.235509	1	
2695.541172	1	
2695.846834	1	
2696.152497	1	
2696.458159	1	
2696.763821	 	
