2D-peak FWHM	#
9.420095434	2	
9.436169573	1	
9.452243712	0	
9.46831785	2	
9.484391989	0	
9.500466128	2	
9.516540266	3	
9.532614405	3	
9.548688544	6	
9.564762682	3	
9.580836821	4	
9.59691096	3	
9.612985099	5	
9.629059237	6	
9.645133376	5	
9.661207515	6	
9.677281653	5	
9.693355792	10	
9.709429931	2	
9.725504069	12	
9.741578208	12	
9.757652347	10	
9.773726485	15	
9.789800624	8	
9.805874763	11	
9.821948901	15	
9.83802304	17	
9.854097179	9	
9.870171318	18	
9.886245456	13	
9.902319595	17	
9.918393734	11	
9.934467872	18	
9.950542011	22	
9.96661615	16	
9.982690288	22	
9.998764427	16	
10.01483857	24	
10.0309127	23	
10.04698684	9	
10.06306098	20	
10.07913512	19	
10.09520926	19	
10.1112834	19	
10.12735754	10	
10.14343168	21	
10.15950581	22	
10.17557995	10	
10.19165409	20	
10.20772823	16	
10.22380237	14	
10.23987651	24	
10.25595065	18	
10.27202478	14	
10.28809892	12	
10.30417306	13	
10.3202472	11	
10.33632134	6	
10.35239548	12	
10.36846962	9	
10.38454376	6	
10.40061789	12	
10.41669203	6	
10.43276617	7	
10.44884031	8	
10.46491445	4	
10.48098859	2	
10.49706273	7	
10.51313687	4	
10.529211	2	
10.54528514	4	
10.56135928	2	
10.57743342	4	
10.59350756	5	
10.6095817	3	
10.62565584	1	
10.64172997	2	
10.65780411	4	
10.67387825	0	
10.68995239	0	
10.70602653	1	
10.72210067	0	
10.73817481	2	
10.75424895	0	
10.77032308	1	
10.78639722	0	
10.80247136	0	
10.8185455	0	
10.83461964	0	
10.85069378	0	
10.86676792	0	
10.88284206	0	
10.89891619	0	
10.91499033	0	
10.93106447	0	
10.94713861	0	
10.96321275	0	
10.97928689	0	
10.99536103	1	
11.01143516	 	
