2D-peak FWHM	#
9.665507192	2	
9.676247738	1	
9.686988284	0	
9.69772883	2	
9.708469376	0	
9.719209922	2	
9.729950469	3	
9.740691015	3	
9.751431561	6	
9.762172107	3	
9.772912653	4	
9.783653199	3	
9.794393745	5	
9.805134291	6	
9.815874837	5	
9.826615384	6	
9.83735593	5	
9.848096476	9	
9.858837022	3	
9.869577568	11	
9.880318114	11	
9.89105866	12	
9.901799206	14	
9.912539752	9	
9.923280299	10	
9.934020845	15	
9.944761391	16	
9.955501937	10	
9.966242483	18	
9.976983029	13	
9.987723575	14	
9.998464121	14	
10.00920467	19	
10.01994521	19	
10.03068576	15	
10.04142631	23	
10.05216685	17	
10.0629074	25	
10.07364794	22	
10.08438849	8	
10.09512904	18	
10.10586958	21	
10.11661013	20	
10.12735067	19	
10.13809122	11	
10.14883177	18	
10.15957231	24	
10.17031286	12	
10.18105341	19	
10.19179395	15	
10.2025345	13	
10.21327504	23	
10.22401559	22	
10.23475614	13	
10.24549668	13	
10.25623723	13	
10.26697777	11	
10.27771832	6	
10.28845887	12	
10.29919941	7	
10.30993996	7	
10.3206805	13	
10.33142105	6	
10.3421616	6	
10.35290214	8	
10.36364269	4	
10.37438324	3	
10.38512378	6	
10.39586433	5	
10.40660487	2	
10.41734542	3	
10.42808597	2	
10.43882651	5	
10.44956706	2	
10.4603076	6	
10.47104815	0	
10.4817887	3	
10.49252924	4	
10.50326979	0	
10.51401033	0	
10.52475088	1	
10.53549143	0	
10.54623197	2	
10.55697252	0	
10.56771307	1	
10.57845361	0	
10.58919416	0	
10.5999347	0	
10.61067525	0	
10.6214158	0	
10.63215634	0	
10.64289689	0	
10.65363743	0	
10.66437798	0	
10.67511853	0	
10.68585907	0	
10.69659962	0	
10.70734016	0	
10.71808071	1	
10.72882126	 	
