2D-peak FWHM	#
9446.513686	11	
9625.557369	47	
9804.601052	139	
9983.644736	190	
10162.68842	128	
10341.7321	58	
10520.77579	32	
10699.81947	9	
10878.86315	6	
11057.90683	4	
11236.95052	10	
11415.9942	5	
11595.03788	4	
11774.08157	6	
11953.12525	3	
12132.16893	2	
12311.21262	4	
12490.2563	3	
12669.29998	2	
12848.34367	4	
13027.38735	5	
13206.43103	2	
13385.47472	6	
13564.5184	0	
13743.56208	1	
13922.60577	2	
14101.64945	2	
14280.69313	4	
14459.73682	3	
14638.7805	0	
14817.82418	1	
14996.86787	1	
15175.91155	2	
15354.95523	5	
15533.99891	3	
15713.0426	2	
15892.08628	2	
16071.12996	2	
16250.17365	0	
16429.21733	2	
16608.26101	1	
16787.3047	0	
16966.34838	1	
17145.39206	5	
17324.43575	4	
17503.47943	0	
17682.52311	1	
17861.5668	1	
18040.61048	0	
18219.65416	1	
18398.69785	3	
18577.74153	0	
18756.78521	1	
18935.8289	1	
19114.87258	2	
19293.91626	2	
19472.95995	2	
19652.00363	2	
19831.04731	1	
20010.09099	0	
20189.13468	1	
20368.17836	2	
20547.22204	1	
20726.26573	2	
20905.30941	2	
21084.35309	1	
21263.39678	1	
21442.44046	1	
21621.48414	2	
21800.52783	0	
21979.57151	2	
22158.61519	2	
22337.65888	1	
22516.70256	1	
22695.74624	0	
22874.78993	0	
23053.83361	4	
23232.87729	1	
23411.92098	1	
23590.96466	1	
23770.00834	2	
23949.05203	0	
24128.09571	1	
24307.13939	1	
24486.18307	3	
24665.22676	1	
24844.27044	0	
25023.31412	1	
25202.35781	1	
25381.40149	1	
25560.44517	1	
25739.48886	1	
25918.53254	1	
26097.57622	1	
26276.61991	0	
26455.66359	0	
26634.70727	1	
26813.75096	0	
26992.79464	1	
27171.83832	 	
