2D-peak FWHM	#
0.08904307251	2	
0.08906704793	1	
0.08909102335	0	
0.08911499877	2	
0.08913897419	0	
0.08916294961	4	
0.08918692503	1	
0.08921090045	4	
0.08923487587	5	
0.08925885129	4	
0.08928282671	4	
0.08930680213	4	
0.08933077755	3	
0.08935475297	6	
0.08937872839	6	
0.08940270381	6	
0.08942667923	5	
0.08945065465	10	
0.08947463007	2	
0.08949860549	15	
0.08952258091	13	
0.08954655633	11	
0.08957053175	11	
0.08959450717	11	
0.08961848259	14	
0.08964245801	13	
0.08966643343	13	
0.08969040885	12	
0.08971438427	14	
0.08973835969	17	
0.08976233511	19	
0.08978631053	11	
0.08981028595	18	
0.08983426137	22	
0.08985823679	18	
0.08988221221	20	
0.08990618763	22	
0.08993016305	17	
0.08995413847	19	
0.08997811389	15	
0.09000208931	18	
0.09002606473	20	
0.09005004015	18	
0.09007401557	19	
0.09009799099	11	
0.09012196641	23	
0.09014594183	17	
0.09016991725	12	
0.09019389267	19	
0.09021786808	16	
0.0902418435	21	
0.09026581892	19	
0.09028979434	15	
0.09031376976	15	
0.09033774518	13	
0.0903617206	13	
0.09038569602	8	
0.09040967144	10	
0.09043364686	10	
0.09045762228	8	
0.0904815977	7	
0.09050557312	9	
0.09052954854	6	
0.09055352396	7	
0.09057749938	8	
0.0906014748	3	
0.09062545022	3	
0.09064942564	7	
0.09067340106	2	
0.09069737648	3	
0.0907213519	3	
0.09074532732	4	
0.09076930274	2	
0.09079327816	5	
0.09081725358	3	
0.090841229	1	
0.09086520442	4	
0.09088917984	2	
0.09091315526	0	
0.09093713068	1	
0.0909611061	0	
0.09098508152	0	
0.09100905694	2	
0.09103303236	0	
0.09105700778	1	
0.0910809832	0	
0.09110495862	0	
0.09112893404	0	
0.09115290946	0	
0.09117688488	0	
0.0912008603	0	
0.09122483572	0	
0.09124881114	0	
0.09127278656	0	
0.09129676198	0	
0.0913207374	0	
0.09134471282	0	
0.09136868824	0	
0.09139266366	1	
0.09141663908	 	
