2D-peak FWHM	#
2789.197854	12	
2793.485962	78	
2797.774069	134	
2802.062176	91	
2806.350284	118	
2810.638391	75	
2814.926498	51	
2819.214606	20	
2823.502713	20	
2827.790821	14	
2832.078928	12	
2836.367035	1	
2840.655143	3	
2844.94325	1	
2849.231357	7	
2853.519465	4	
2857.807572	3	
2862.09568	2	
2866.383787	3	
2870.671894	7	
2874.960002	1	
2879.248109	1	
2883.536216	3	
2887.824324	1	
2892.112431	7	
2896.400539	2	
2900.688646	3	
2904.976753	2	
2909.264861	2	
2913.552968	2	
2917.841075	4	
2922.129183	1	
2926.41729	2	
2930.705398	3	
2934.993505	2	
2939.281612	3	
2943.56972	0	
2947.857827	2	
2952.145934	0	
2956.434042	5	
2960.722149	2	
2965.010257	3	
2969.298364	1	
2973.586471	0	
2977.874579	1	
2982.162686	2	
2986.450793	1	
2990.738901	0	
2995.027008	2	
2999.315116	1	
3003.603223	3	
3007.89133	5	
3012.179438	1	
3016.467545	1	
3020.755653	0	
3025.04376	1	
3029.331867	2	
3033.619975	1	
3037.908082	1	
3042.196189	0	
3046.484297	1	
3050.772404	2	
3055.060512	2	
3059.348619	4	
3063.636726	1	
3067.924834	2	
3072.212941	1	
3076.501048	0	
3080.789156	0	
3085.077263	2	
3089.365371	0	
3093.653478	2	
3097.941585	1	
3102.229693	1	
3106.5178	5	
3110.805907	1	
3115.094015	1	
3119.382122	0	
3123.67023	1	
3127.958337	2	
3132.246444	1	
3136.534552	2	
3140.822659	1	
3145.110766	2	
3149.398874	1	
3153.686981	1	
3157.975089	1	
3162.263196	2	
3166.551303	1	
3170.839411	0	
3175.127518	2	
3179.415625	0	
3183.703733	2	
3187.99184	2	
3192.279948	0	
3196.568055	1	
3200.856162	1	
3205.14427	2	
3209.432377	2	
3213.720484	 	
