2D-peak FWHM	#
0.001648686797	3	
0.001679292471	1	
0.001709898144	5	
0.001740503818	4	
0.001771109492	2	
0.001801715166	2	
0.00183232084	3	
0.001862926513	5	
0.001893532187	2	
0.001924137861	0	
0.001954743535	3	
0.001985349209	0	
0.002015954883	4	
0.002046560556	3	
0.00207716623	5	
0.002107771904	1	
0.002138377578	1	
0.002168983252	0	
0.002199588925	2	
0.002230194599	2	
0.002260800273	3	
0.002291405947	1	
0.002322011621	3	
0.002352617295	1	
0.002383222968	3	
0.002413828642	2	
0.002444434316	0	
0.00247503999	0	
0.002505645664	3	
0.002536251337	4	
0.002566857011	4	
0.002597462685	1	
0.002628068359	1	
0.002658674033	2	
0.002689279707	0	
0.00271988538	2	
0.002750491054	1	
0.002781096728	1	
0.002811702402	3	
0.002842308076	3	
0.00287291375	3	
0.002903519423	2	
0.002934125097	2	
0.002964730771	2	
0.002995336445	4	
0.003025942119	2	
0.003056547792	3	
0.003087153466	1	
0.00311775914	1	
0.003148364814	1	
0.003178970488	0	
0.003209576162	3	
0.003240181835	4	
0.003270787509	1	
0.003301393183	5	
0.003331998857	1	
0.003362604531	2	
0.003393210204	2	
0.003423815878	0	
0.003454421552	3	
0.003485027226	0	
0.0035156329	1	
0.003546238574	4	
0.003576844247	1	
0.003607449921	2	
0.003638055595	7	
0.003668661269	5	
0.003699266943	2	
0.003729872616	2	
0.00376047829	2	
0.003791083964	2	
0.003821689638	1	
0.003852295312	7	
0.003882900986	3	
0.003913506659	4	
0.003944112333	2	
0.003974718007	14	
0.004005323681	7	
0.004035929355	23	
0.004066535029	26	
0.004097140702	25	
0.004127746376	31	
0.00415835205	46	
0.004188957724	55	
0.004219563398	54	
0.004250169071	37	
0.004280774745	50	
0.004311380419	49	
0.004341986093	41	
0.004372591767	38	
0.004403197441	20	
0.004433803114	32	
0.004464408788	16	
0.004495014462	20	
0.004525620136	10	
0.00455622581	6	
0.004586831483	5	
0.004617437157	4	
0.004648042831	1	
0.004678648505	 	
