2D-peak FWHM	#
1362.994402	1	
1363.001454	0	
1363.008506	1	
1363.015558	0	
1363.02261	0	
1363.029662	1	
1363.036714	0	
1363.043765	1	
1363.050817	2	
1363.057869	1	
1363.064921	1	
1363.071973	0	
1363.079025	2	
1363.086077	2	
1363.093129	3	
1363.100181	2	
1363.107233	2	
1363.114285	1	
1363.121337	1	
1363.128389	2	
1363.13544	3	
1363.142492	5	
1363.149544	3	
1363.156596	3	
1363.163648	5	
1363.1707	9	
1363.177752	6	
1363.184804	6	
1363.191856	3	
1363.198908	12	
1363.20596	7	
1363.213012	8	
1363.220064	8	
1363.227116	4	
1363.234167	4	
1363.241219	9	
1363.248271	10	
1363.255323	14	
1363.262375	10	
1363.269427	12	
1363.276479	11	
1363.283531	13	
1363.290583	18	
1363.297635	14	
1363.304687	15	
1363.311739	15	
1363.318791	16	
1363.325842	21	
1363.332894	14	
1363.339946	14	
1363.346998	22	
1363.35405	18	
1363.361102	18	
1363.368154	19	
1363.375206	18	
1363.382258	17	
1363.38931	18	
1363.396362	18	
1363.403414	19	
1363.410466	18	
1363.417518	19	
1363.424569	8	
1363.431621	19	
1363.438673	15	
1363.445725	18	
1363.452777	17	
1363.459829	16	
1363.466881	15	
1363.473933	12	
1363.480985	9	
1363.488037	14	
1363.495089	13	
1363.502141	8	
1363.509193	5	
1363.516244	10	
1363.523296	7	
1363.530348	4	
1363.5374	9	
1363.544452	11	
1363.551504	3	
1363.558556	3	
1363.565608	3	
1363.57266	7	
1363.579712	5	
1363.586764	7	
1363.593816	1	
1363.600868	6	
1363.60792	5	
1363.614971	2	
1363.622023	0	
1363.629075	3	
1363.636127	1	
1363.643179	1	
1363.650231	1	
1363.657283	1	
1363.664335	0	
1363.671387	0	
1363.678439	3	
1363.685491	2	
1363.692543	 	
