2D-peak FWHM	#
1.758197356	1	
1.797256932	0	
1.836316507	1	
1.875376083	0	
1.914435658	0	
1.953495234	1	
1.99255481	1	
2.031614385	1	
2.070673961	1	
2.109733536	0	
2.148793112	1	
2.187852687	0	
2.226912263	0	
2.265971839	1	
2.305031414	0	
2.34409099	1	
2.383150565	0	
2.422210141	0	
2.461269716	0	
2.500329292	1	
2.539388868	2	
2.578448443	1	
2.617508019	4	
2.656567594	2	
2.69562717	0	
2.734686745	0	
2.773746321	1	
2.812805896	1	
2.851865472	2	
2.890925048	2	
2.929984623	0	
2.969044199	2	
3.008103774	4	
3.04716335	5	
3.086222925	3	
3.125282501	4	
3.164342077	2	
3.203401652	6	
3.242461228	8	
3.281520803	8	
3.320580379	8	
3.359639954	4	
3.39869953	5	
3.437759106	8	
3.476818681	10	
3.515878257	10	
3.554937832	6	
3.593997408	7	
3.633056983	13	
3.672116559	14	
3.711176134	13	
3.75023571	7	
3.789295286	9	
3.828354861	13	
3.867414437	15	
3.906474012	18	
3.945533588	16	
3.984593163	16	
4.023652739	14	
4.062712315	17	
4.10177189	19	
4.140831466	15	
4.179891041	36	
4.218950617	23	
4.258010192	24	
4.297069768	16	
4.336129344	17	
4.375188919	16	
4.414248495	13	
4.45330807	20	
4.492367646	18	
4.531427221	17	
4.570486797	15	
4.609546372	11	
4.648605948	16	
4.687665524	19	
4.726725099	18	
4.765784675	25	
4.80484425	21	
4.843903826	17	
4.882963401	17	
4.922022977	19	
4.961082553	19	
5.000142128	9	
5.039201704	11	
5.078261279	11	
5.117320855	8	
5.15638043	8	
5.195440006	4	
5.234499581	4	
5.273559157	3	
5.312618733	1	
5.351678308	0	
5.390737884	0	
5.429797459	1	
5.468857035	1	
5.50791661	0	
5.546976186	0	
5.586035762	1	
5.625095337	 	
