2D-peak FWHM	#
0.006115965037	9	
0.007042216403	8	
0.007968467769	8	
0.008894719135	14	
0.009820970501	7	
0.01074722187	9	
0.01167347323	10	
0.0125997246	9	
0.01352597597	8	
0.01445222733	10	
0.0153784787	7	
0.01630473006	9	
0.01723098143	7	
0.0181572328	7	
0.01908348416	12	
0.02000973553	7	
0.02093598689	9	
0.02186223826	31	
0.02278848963	83	
0.02371474099	160	
0.02464099236	154	
0.02556724373	85	
0.02649349509	41	
0.02741974646	19	
0.02834599782	10	
0.02927224919	5	
0.03019850056	2	
0.03112475192	2	
0.03205100329	4	
0.03297725465	4	
0.03390350602	3	
0.03482975739	5	
0.03575600875	0	
0.03668226012	3	
0.03760851148	0	
0.03853476285	1	
0.03946101422	1	
0.04038726558	1	
0.04131351695	0	
0.04223976832	0	
0.04316601968	1	
0.04409227105	1	
0.04501852241	2	
0.04594477378	1	
0.04687102515	0	
0.04779727651	0	
0.04872352788	2	
0.04964977924	1	
0.05057603061	0	
0.05150228198	0	
0.05242853334	1	
0.05335478471	0	
0.05428103607	1	
0.05520728744	2	
0.05613353881	0	
0.05705979017	0	
0.05798604154	0	
0.05891229291	1	
0.05983854427	0	
0.06076479564	1	
0.061691047	0	
0.06261729837	0	
0.06354354974	0	
0.0644698011	0	
0.06539605247	1	
0.06632230383	0	
0.0672485552	1	
0.06817480657	1	
0.06910105793	0	
0.0700273093	0	
0.07095356066	0	
0.07187981203	0	
0.0728060634	0	
0.07373231476	0	
0.07465856613	0	
0.0755848175	0	
0.07651106886	0	
0.07743732023	0	
0.07836357159	0	
0.07928982296	0	
0.08021607433	1	
0.08114232569	0	
0.08206857706	0	
0.08299482842	0	
0.08392107979	0	
0.08484733116	0	
0.08577358252	0	
0.08669983389	0	
0.08762608525	0	
0.08855233662	0	
0.08947858799	0	
0.09040483935	0	
0.09133109072	0	
0.09225734209	0	
0.09318359345	0	
0.09410984482	0	
0.09503609618	0	
0.09596234755	0	
0.09688859892	1	
0.09781485028	 	
