2D-peak FWHM	#
10.96744664	3	
11.04258524	5	
11.11772384	2	
11.19286245	5	
11.26800105	4	
11.34313965	7	
11.41827825	4	
11.49341685	9	
11.56855545	8	
11.64369405	12	
11.71883265	16	
11.79397125	14	
11.86910986	14	
11.94424846	10	
12.01938706	19	
12.09452566	13	
12.16966426	19	
12.24480286	15	
12.31994146	18	
12.39508006	20	
12.47021866	18	
12.54535727	36	
12.62049587	36	
12.69563447	17	
12.77077307	33	
12.84591167	29	
12.92105027	34	
12.99618887	36	
13.07132747	28	
13.14646607	29	
13.22160468	40	
13.29674328	25	
13.37188188	24	
13.44702048	26	
13.52215908	17	
13.59729768	24	
13.67243628	19	
13.74757488	24	
13.82271348	11	
13.89785209	13	
13.97299069	7	
14.04812929	2	
14.12326789	8	
14.19840649	3	
14.27354509	1	
14.34868369	0	
14.42382229	0	
14.49896089	3	
14.5740995	2	
14.6492381	1	
14.7243767	0	
14.7995153	0	
14.8746539	0	
14.9497925	2	
15.0249311	0	
15.1000697	0	
15.17520831	2	
15.25034691	0	
15.32548551	0	
15.40062411	2	
15.47576271	0	
15.55090131	1	
15.62603991	3	
15.70117851	0	
15.77631711	0	
15.85145572	0	
15.92659432	0	
16.00173292	0	
16.07687152	0	
16.15201012	0	
16.22714872	2	
16.30228732	0	
16.37742592	1	
16.45256452	1	
16.52770313	0	
16.60284173	0	
16.67798033	1	
16.75311893	0	
16.82825753	2	
16.90339613	0	
16.97853473	1	
17.05367333	0	
17.12881193	0	
17.20395054	0	
17.27908914	0	
17.35422774	0	
17.42936634	0	
17.50450494	0	
17.57964354	0	
17.65478214	0	
17.72992074	0	
17.80505934	0	
17.88019795	0	
17.95533655	0	
18.03047515	0	
18.10561375	0	
18.18075235	0	
18.25589095	1	
18.33102955	1	
18.40616815	 	
