2D-peak FWHM	#
10.22454154	3	
10.26966492	5	
10.3147883	2	
10.35991168	5	
10.40503506	4	
10.45015844	7	
10.49528182	4	
10.5404052	7	
10.58552858	10	
10.63065196	11	
10.67577534	16	
10.72089872	14	
10.7660221	15	
10.81114548	10	
10.85626886	17	
10.90139224	14	
10.94651562	19	
10.991639	15	
11.03676238	18	
11.08188576	20	
11.12700913	17	
11.17213251	34	
11.21725589	39	
11.26237927	16	
11.30750265	33	
11.35262603	29	
11.39774941	35	
11.44287279	36	
11.48799617	29	
11.53311955	29	
11.57824293	39	
11.62336631	26	
11.66848969	24	
11.71361307	26	
11.75873645	17	
11.80385983	24	
11.84898321	19	
11.89410659	24	
11.93922997	10	
11.98435335	14	
12.02947673	7	
12.07460011	2	
12.11972349	8	
12.16484687	3	
12.20997025	1	
12.25509363	0	
12.30021701	0	
12.34534039	3	
12.39046377	2	
12.43558715	1	
12.48071053	0	
12.52583391	0	
12.57095729	0	
12.61608067	2	
12.66120405	0	
12.70632743	0	
12.7514508	2	
12.79657418	0	
12.84169756	0	
12.88682094	2	
12.93194432	0	
12.9770677	1	
13.02219108	3	
13.06731446	0	
13.11243784	0	
13.15756122	0	
13.2026846	0	
13.24780798	0	
13.29293136	0	
13.33805474	0	
13.38317812	2	
13.4283015	0	
13.47342488	1	
13.51854826	1	
13.56367164	0	
13.60879502	1	
13.6539184	0	
13.69904178	1	
13.74416516	1	
13.78928854	0	
13.83441192	1	
13.8795353	0	
13.92465868	0	
13.96978206	0	
14.01490544	0	
14.06002882	0	
14.1051522	0	
14.15027558	0	
14.19539896	0	
14.24052234	0	
14.28564572	0	
14.33076909	0	
14.37589247	0	
14.42101585	0	
14.46613923	0	
14.51126261	0	
14.55638599	0	
14.60150937	1	
14.64663275	1	
14.69175613	 	
