2D-peak FWHM	#
2345.143379	1	
2565.023402	0	
2784.903425	2	
3004.783448	1	
3224.663471	1	
3444.543494	2	
3664.423517	1	
3884.30354	3	
4104.183563	2	
4324.063586	3	
4543.943608	3	
4763.823631	3	
4983.703654	1	
5203.583677	1	
5423.4637	3	
5643.343723	2	
5863.223746	3	
6083.103769	4	
6302.983792	15	
6522.863815	14	
6742.743838	20	
6962.62386	21	
7182.503883	52	
7402.383906	60	
7622.263929	69	
7842.143952	108	
8062.023975	141	
8281.903998	82	
8501.784021	26	
8721.664044	5	
8941.544067	7	
9161.42409	2	
9381.304113	4	
9601.184135	7	
9821.064158	4	
10040.94418	4	
10260.8242	3	
10480.70423	3	
10700.58425	2	
10920.46427	5	
11140.3443	3	
11360.22432	2	
11580.10434	2	
11799.98436	2	
12019.86439	4	
12239.74441	4	
12459.62443	0	
12679.50446	0	
12899.38448	3	
13119.2645	3	
13339.14452	2	
13559.02455	3	
13778.90457	1	
13998.78459	1	
14218.66462	1	
14438.54464	4	
14658.42466	4	
14878.30469	1	
15098.18471	2	
15318.06473	3	
15537.94475	2	
15757.82478	1	
15977.7048	0	
16197.58482	1	
16417.46485	0	
16637.34487	2	
16857.22489	2	
17077.10491	5	
17296.98494	3	
17516.86496	3	
17736.74498	1	
17956.62501	1	
18176.50503	0	
18396.38505	2	
18616.26507	1	
18836.1451	1	
19056.02512	2	
19275.90514	1	
19495.78517	0	
19715.66519	3	
19935.54521	0	
20155.42524	0	
20375.30526	1	
20595.18528	4	
20815.0653	0	
21034.94533	1	
21254.82535	1	
21474.70537	0	
21694.5854	0	
21914.46542	3	
22134.34544	1	
22354.22546	1	
22574.10549	0	
22793.98551	1	
23013.86553	2	
23233.74556	1	
23453.62558	0	
23673.5056	0	
23893.38562	1	
24113.26565	 	
