2D-peak FWHM	#
2808.288115	25	
2812.764153	70	
2817.240191	119	
2821.716229	112	
2826.192268	78	
2830.668306	69	
2835.144344	42	
2839.620382	29	
2844.09642	33	
2848.572458	17	
2853.048496	22	
2857.524535	4	
2862.000573	6	
2866.476611	3	
2870.952649	9	
2875.428687	4	
2879.904725	6	
2884.380764	4	
2888.856802	1	
2893.33284	2	
2897.808878	2	
2902.284916	3	
2906.760954	1	
2911.236992	4	
2915.713031	3	
2920.189069	3	
2924.665107	1	
2929.141145	5	
2933.617183	1	
2938.093221	4	
2942.569259	0	
2947.045298	2	
2951.521336	3	
2955.997374	3	
2960.473412	3	
2964.94945	2	
2969.425488	3	
2973.901527	2	
2978.377565	3	
2982.853603	3	
2987.329641	0	
2991.805679	1	
2996.281717	0	
3000.757755	3	
3005.233794	2	
3009.709832	0	
3014.18587	1	
3018.661908	3	
3023.137946	2	
3027.613984	2	
3032.090022	2	
3036.566061	1	
3041.042099	1	
3045.518137	3	
3049.994175	2	
3054.470213	0	
3058.946251	0	
3063.42229	1	
3067.898328	2	
3072.374366	1	
3076.850404	2	
3081.326442	1	
3085.80248	3	
3090.278518	1	
3094.754557	3	
3099.230595	0	
3103.706633	1	
3108.182671	2	
3112.658709	1	
3117.134747	0	
3121.610785	0	
3126.086824	3	
3130.562862	1	
3135.0389	1	
3139.514938	2	
3143.990976	4	
3148.467014	0	
3152.943053	1	
3157.419091	0	
3161.895129	2	
3166.371167	0	
3170.847205	3	
3175.323243	0	
3179.799281	1	
3184.27532	0	
3188.751358	4	
3193.227396	1	
3197.703434	1	
3202.179472	0	
3206.65551	0	
3211.131548	1	
3215.607587	3	
3220.083625	1	
3224.559663	1	
3229.035701	0	
3233.511739	3	
3237.987777	0	
3242.463816	0	
3246.939854	3	
3251.415892	 	
