2D-peak FWHM	#
1569.164416	1	
1569.29042	3	
1569.416423	1	
1569.542427	1	
1569.668431	2	
1569.794434	1	
1569.920438	2	
1570.046442	2	
1570.172445	3	
1570.298449	1	
1570.424452	3	
1570.550456	0	
1570.67646	1	
1570.802463	2	
1570.928467	3	
1571.054471	2	
1571.180474	1	
1571.306478	2	
1571.432482	3	
1571.558485	1	
1571.684489	2	
1571.810492	2	
1571.936496	2	
1572.0625	0	
1572.188503	3	
1572.314507	2	
1572.440511	0	
1572.566514	1	
1572.692518	3	
1572.818521	2	
1572.944525	1	
1573.070529	2	
1573.196532	3	
1573.322536	1	
1573.44854	1	
1573.574543	1	
1573.700547	2	
1573.826551	3	
1573.952554	4	
1574.078558	1	
1574.204561	3	
1574.330565	3	
1574.456569	1	
1574.582572	2	
1574.708576	2	
1574.83458	2	
1574.960583	7	
1575.086587	0	
1575.212591	4	
1575.338594	4	
1575.464598	2	
1575.590601	2	
1575.716605	5	
1575.842609	3	
1575.968612	6	
1576.094616	5	
1576.22062	0	
1576.346623	3	
1576.472627	9	
1576.598631	4	
1576.724634	9	
1576.850638	7	
1576.976641	5	
1577.102645	5	
1577.228649	9	
1577.354652	5	
1577.480656	11	
1577.60666	8	
1577.732663	7	
1577.858667	8	
1577.98467	12	
1578.110674	8	
1578.236678	6	
1578.362681	13	
1578.488685	12	
1578.614689	15	
1578.740692	15	
1578.866696	17	
1578.9927	16	
1579.118703	19	
1579.244707	45	
1579.37071	70	
1579.496714	57	
1579.622718	48	
1579.748721	43	
1579.874725	39	
1580.000729	34	
1580.126732	19	
1580.252736	16	
1580.37874	12	
1580.504743	13	
1580.630747	11	
1580.75675	13	
1580.882754	6	
1581.008758	5	
1581.134761	3	
1581.260765	1	
1581.386769	1	
1581.512772	2	
1581.638776	 	
