2D-peak FWHM	#
-0.52496131	1	
-0.518650309	1	
-0.5123393079	1	
-0.5060283069	0	
-0.4997173059	2	
-0.4934063048	0	
-0.4870953038	2	
-0.4807843028	1	
-0.4744733017	1	
-0.4681623007	11	
-0.4618512997	25	
-0.4555402986	39	
-0.4492292976	69	
-0.4429182966	54	
-0.4366072955	59	
-0.4302962945	43	
-0.4239852935	40	
-0.4176742925	23	
-0.4113632914	30	
-0.4050522904	14	
-0.3987412894	23	
-0.3924302883	19	
-0.3861192873	14	
-0.3798082863	17	
-0.3734972852	15	
-0.3671862842	12	
-0.3608752832	11	
-0.3545642821	12	
-0.3482532811	5	
-0.3419422801	8	
-0.335631279	13	
-0.329320278	5	
-0.323009277	11	
-0.3166982759	6	
-0.3103872749	13	
-0.3040762739	3	
-0.2977652729	12	
-0.2914542718	8	
-0.2851432708	4	
-0.2788322698	9	
-0.2725212687	4	
-0.2662102677	5	
-0.2598992667	4	
-0.2535882656	11	
-0.2472772646	2	
-0.2409662636	4	
-0.2346552625	2	
-0.2283442615	4	
-0.2220332605	7	
-0.2157222594	4	
-0.2094112584	2	
-0.2031002574	5	
-0.1967892563	2	
-0.1904782553	3	
-0.1841672543	3	
-0.1778562533	5	
-0.1715452522	3	
-0.1652342512	2	
-0.1589232502	1	
-0.1526122491	2	
-0.1463012481	1	
-0.1399902471	3	
-0.133679246	3	
-0.127368245	4	
-0.121057244	3	
-0.1147462429	1	
-0.1084352419	4	
-0.1021242409	1	
-0.09581323984	1	
-0.08950223881	3	
-0.08319123778	1	
-0.07688023675	2	
-0.07056923571	3	
-0.06425823468	1	
-0.05794723365	1	
-0.05163623262	2	
-0.04532523159	1	
-0.03901423056	2	
-0.03270322952	3	
-0.02639222849	0	
-0.02008122746	3	
-0.01377022643	1	
-0.007459225397	1	
-0.001148224366	0	
0.005162776666	1	
0.0114737777	4	
0.01778477873	1	
0.02409577976	1	
0.03040678079	2	
0.03671778182	0	
0.04302878286	3	
0.04933978389	0	
0.05565078492	2	
0.06196178595	2	
0.06827278698	3	
0.07458378801	1	
0.08089478905	2	
0.08720579008	2	
0.09351679111	3	
0.09982779214	 	
